ITEM|LOC|PRODUCTIONMETHOD|DESCR|BOMNUM|EFF|DISC|LEADTIME|LEADTIMEEFFCNYCAL|NONEWSUPPLYDATE|PRIORITY|INCQTY|SPLITFACTOR|U_PLANMODULE
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-5_COMMON|2000-280-869_1006_275_INTEL FOV-5_COMMON|275|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-6_COMMON|2000-280-869_1006_275_INTEL FOV-6_COMMON|275|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-7_COMMON|2000-280-869_1006_275_INTEL FOV-7_COMMON|275|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-1_COMMON|2000-285-609_1006_437_INTEL FOV-1_COMMON|437|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-2_COMMON|2000-285-609_1006_437_INTEL FOV-2_COMMON|437|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-4_COMMON|2000-285-609_1006_437_INTEL FOV-4_COMMON|437|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-5_COMMON|2000-285-609_1006_437_INTEL FOV-5_COMMON|437|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-6_COMMON|2000-285-609_1006_437_INTEL FOV-6_COMMON|437|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-7_COMMON|2000-285-609_1006_437_INTEL FOV-7_COMMON|437|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-677|1006|2000-285-677_1006_434_C4 ONLY_COMMON|2000-285-677_1006_434_C4 ONLY_COMMON|434|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-285-677|1003|2000-285-677_1003_435_C4 ONLY_COMMON|2000-285-677_1003_435_C4 ONLY_COMMON|435|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-1_COMMON|2000-309-415_1006_481_INTEL EMIB1.0-1_COMMON|481|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-2_COMMON|2000-309-415_1006_481_INTEL EMIB1.0-2_COMMON|481|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-3_COMMON|2000-309-415_1006_481_INTEL EMIB1.0-3_COMMON|481|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB1.0-4_COMMON|2000-309-415_1006_481_INTEL EMIB1.0-4_COMMON|481|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-309-415|1006|2000-309-415_1006_481_INTEL EMIB2.0-1_COMMON|2000-309-415_1006_481_INTEL EMIB2.0-1_COMMON|481|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-1_COMMON|2000-314-191_1006_480_INTEL FOV-1_COMMON|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-1_IFS|2000-314-191_1006_480_INTEL FOV-1_IFS|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-2_COMMON|2000-314-191_1006_480_INTEL FOV-2_COMMON|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-2_IFS|2000-314-191_1006_480_INTEL FOV-2_IFS|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-191|1006|2000-314-191_1006_480_INTEL FOV-4_COMMON|2000-314-191_1006_480_INTEL FOV-4_COMMON|191|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
