CUST|EXTREF|ORDERID|ITEM|LOC|QTY|U_ORDER_TYPE|U_CREATION_DT|U_RGID_DT|U_CGID_DT|MAXLATEDUR|U_COMMITTED_CO_FLAG|U_ENGINEERING|U_SHUTTLE|U_SAMPLE|U_NPI|U_EXPEDITE|U_DPAS|U_SPECIAL|U_BACKLOG|LINEITEMEXTREF|FCSTSW|STATUS|OP_CONSUMEEARLY|U_PLANMODULE|DELRDD_CALC_DT|GI_DT
6200000072|1030001234|1030001234_10_0001|100000000111|1003|25|ZOR|23-07-2025|23-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001235|1030001235_10_0001|100000000111|1003|35|ZOR|23-08-2025|23-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001236|1030001236_10_0001|100000000111|1003|20|ZOR|14-08-2025|14-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001237|1030001237_10_0001|100000000111|1003|35|ZOR|13-08-2025|13-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001238|1030001238_10_0001|100000000111|1003|70|ZOR|23-08-2025|23-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001239|1030001239_10_0001|100000000111|1003|12|ZOR|20-08-2025|20-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001240|1030001240_10_0001|100000000111|1003|25|ZOR|17-08-2025|17-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001241|1030001241_10_0001|100000000111|1003|25|ZOR|21-07-2025|21-07-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001300|1030001300_10_0001|100000000112|1006|20|ZOR|14-08-2025|14-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001301|1030001301_10_0001|100000000112|1006|25|ZOR|13-08-2025|13-08-2025||120960|0|0|0|0|0|0|0|0|1|10|1|1|86|BY_IF||
6200000072|1030001302|1030001302_10_0001|100000000112|1006|25|ZOR|17-07-2025|24-09-2025||120960|0|0|0|0|0|0|0|0|0|10|1|1|86|BY_IF||
