ITEM|SUBORD|LOC|BOMNUM|OFFSET|EFF|DISC|DRAWQTY|YIELDCAL|YIELDFACTOR|U_INTEL_BOMID|U_PLANMODULE
2000-281-452|100000000103|1020|270|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-452_1020|100||BY_IF
2000-281-452|100000000103|1006|271|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-452_1006|100||BY_IF
2000-001-050|2000-281-396|1020|273|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-001-050_1020|100||BY_IF
2000-001-050|2000-281-396|1006|272|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-001-050_1006|100||BY_IF
2000-280-869|823-3072-20|1003|274|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-280-869_1003|100||BY_IF
2000-280-869|823-3072-20|1006|275|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-280-869_1006|100||BY_IF
2000-281-396|821-3110-59|1003|277|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-396_1003|100||BY_IF
2000-281-396|821-3110-59|1006|276|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-396_1006|100||BY_IF
2000-288-671|100000000110|1003|211|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-671_1003|100||BY_IF
2000-288-677|100000000110|1003|215|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-677_1003|100||BY_IF
2000-288-665|100000000110|1003|216|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-665_1003|100||BY_IF
2000-288-667|100000000110|1003|212|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-667_1003|100||BY_IF
2000-288-661|100000000110|1003|219|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-661_1003|100||BY_IF
2000-295-273|100000000110|1003|220|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-295-273_1003|100||BY_IF
2000-288-665|100000000110|1006|217|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-665_1006|100||BY_IF
2000-288-667|100000000110|1006|213|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-667_1006|100||BY_IF
2000-288-661|100000000110|1006|218|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-661_1006|100||BY_IF
2000-295-273|100000000110|1006|221|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-295-273_1006|100||BY_IF
2000-288-671|100000000110|1006|210|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-671_1006|100||BY_IF
2000-288-677|100000000110|1006|214|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-288-677_1006|100||BY_IF
2001-001-001|2000-311-262|1004|388|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-001-001_1004|100||BY_IF
2001-001-001|2000-311-262|1011|389|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2001-001-001_1011|100||BY_IF
2000-311-262|100000002001|1004|390|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-311-262_1004|100||BY_IF
2000-311-262|100000002023|1004|390|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-311-262_1004|100||BY_IF
2000-311-262|100000002023|1029|391|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-311-262_1029|100||BY_IF
2000-311-262|100000002001|1029|391|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-311-262_1029|100||BY_IF
100000002011|2000-293-736|1004|445|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000002011_1004|100||BY_IF
2000-293-736|100000002002|1004|378|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-736_1004|100||BY_IF
2000-293-736|100000002007|1004|378|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-736_1004|100||BY_IF
2000-293-736|100000002002|1029|379|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-736_1029|100||BY_IF
2000-293-736|100000002007|1029|379|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-293-736_1029|100||BY_IF
