ITEM|LOC|PRODUCTIONMETHOD|STEPNUM|EFF|RES|PRODRATE|PRODRATECAL|PRODDUR|NEXTSTEPTIMING|U_PLANMODULE
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-6_COMMON|3|01-01-1970|RES_METEOR LAKE-BASE-P682_8POACVBA_F21|1.0||1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-7_COMMON|1|01-01-1970|RES_INTEL FOV-7_COMMON_F21|1.0|IF_PR_275_INTEL FOV-7|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-7_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_275_INTEL FOV-7|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-7_COMMON|3|01-01-1970|RES_METEOR LAKE-BASE-P682_8POACVBA_F21|1.0||1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-1_COMMON|1|01-01-1970|RES_INTEL FOV-1_COMMON_F21|1.0|IF_PR_437_INTEL FOV-1|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-1_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_437_INTEL FOV-1|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-1_COMMON|3|01-01-1970|RES_LUNAR LAKE-BASE-M442_8PURCVA_F21|1.0||1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-2_COMMON|1|01-01-1970|RES_INTEL FOV-2_COMMON_F21|1.0|IF_PR_437_INTEL FOV-2|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-2_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_437_INTEL FOV-2|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-2_COMMON|3|01-01-1970|RES_LUNAR LAKE-BASE-M442_8PURCVA_F21|1.0||1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-4_COMMON|1|01-01-1970|RES_INTEL FOV-4_COMMON_F21|1.0|IF_PR_437_INTEL FOV-4|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-4_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_437_INTEL FOV-4|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-4_COMMON|3|01-01-1970|RES_LUNAR LAKE-BASE-M442_8PURCVA_F21|1.0||1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-5_COMMON|1|01-01-1970|RES_INTEL FOV-5_COMMON_F21|1.0|IF_PR_437_INTEL FOV-5|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-5_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_437_INTEL FOV-5|1440|3|BY_IF
2000-285-609|1006|2000-285-609_1006_437_INTEL FOV-5_COMMON|3|01-01-1970|RES_LUNAR LAKE-BASE-M442_8PURCVA_F21|1.0||1440|3|BY_IF
