ITEM|SOURCE|DEST|SEQNUM|HEADERSEQNUM|SCHEDARRIVDATE|SCHEDSHIPDATE|QTY|FIRMPLANSW|SOURCING|TRANSMODE|PROJECT|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000008|1003|VF|1575|1575|29-AUG-2026|29-AUG-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1576|1576|05-SEP-2026|05-SEP-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1577|1577|12-SEP-2026|12-SEP-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1578|1578|19-SEP-2026|19-SEP-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1579|1579|26-SEP-2026|26-SEP-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1580|1580|03-OCT-2026|03-OCT-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1581|1581|10-OCT-2026|10-OCT-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1582|1582|17-OCT-2026|17-OCT-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1583|1583|24-OCT-2026|24-OCT-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1584|1584|31-OCT-2026|31-OCT-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
