ITEM|LOC|SEQNUM|SCHEDDATE|STARTDATE|QTY|PRODUCTIONMETHOD|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
2000-293-667|1006|6712|13-DEC-2026|12-DEC-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6711|06-DEC-2026|05-DEC-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6710|29-NOV-2026|28-NOV-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6709|22-NOV-2026|21-NOV-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6708|15-NOV-2026|14-NOV-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6707|08-NOV-2026|07-NOV-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6706|01-NOV-2026|31-OCT-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6705|25-OCT-2026|24-OCT-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6704|18-OCT-2026|17-OCT-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6703|11-OCT-2026|10-OCT-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
